id	path	language	surface	owner	wire_direction	versioning	strictness	authority_or_idempotency	verification	ppacd_rows
PPACD-INV-001	packages/agent/docs/public-protocol-api-contract-discipline-scorecard.md	Markdown	campaign_harness	public-protocol-owner	documentation	Scorecard rows fixed at PPACD-0..10	Static invariant rejects row drift	Records closure state	PPACD invariant	PPACD-0,PPACD-10
PPACD-INV-002	packages/agent/docs/public-protocol-api-contract-discipline-evidence-manifest.md	Markdown	campaign_harness	public-protocol-owner	documentation	Evidence rows map to command results	Static invariant rejects missing command evidence	Records branch/base and corrected findings	PPACD invariant	PPACD-0,PPACD-10
PPACD-INV-003	packages/agent/docs/public-protocol-api-contract-discipline-inventory.md	Markdown	campaign_harness	public-protocol-owner	documentation	Inventory taxonomy is versioned by commit	Static invariant rejects missing taxonomy	Documents surface classes	PPACD invariant	PPACD-1,PPACD-10
PPACD-INV-004	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	TSV	campaign_harness	public-protocol-owner	documentation	TSV schema fixed by invariant	Rows require tracked or staged paths	Records public protocol ownership	PPACD invariant	PPACD-1,PPACD-9
PPACD-INV-005	packages/agent/tests/public_protocol_api_contract_discipline_invariants.rs	Rust	campaign_harness	public-protocol-owner	static gate	Cargo test target versioned by CI/local wiring	Rejects source drift and missing evidence	Static authority/runtime leak prevention	PPACD invariant	PPACD-0,PPACD-9,PPACD-10
PPACD-INV-006	README.md	Markdown	campaign_harness	readme-owner	documentation	README living docs map updated with PPACD	Static invariant checks links and target list	Canonical public protocol reference	PPACD invariant	PPACD-0,PPACD-10
PPACD-INV-007	scripts/tron.d/quality.sh	Bash	campaign_harness	ci-owner	local static gate	Closeout target list includes PPACD	Static invariant checks target wiring	Local CI runs PPACD	PPACD invariant and tron ci	PPACD-0,PPACD-10
PPACD-INV-008	.github/workflows/ci.yml	YAML	campaign_harness	ci-owner	GitHub static gate	Closeout target list includes PPACD	Static invariant checks target wiring	GitHub CI runs PPACD	PPACD invariant	PPACD-0,PPACD-10
PPACD-INV-009	packages/agent/src/transport/engine/contracts.rs	Rust	engine_transport	engine-transport-owner	server to clients	Public method catalog versioned by source	Strict request and response schemas	Public invoke context and child response are narrow	Rust unit tests and PPACD invariant	PPACD-2,PPACD-3,PPACD-4,PPACD-5
PPACD-INV-010	packages/agent/src/transport/engine/socket/wire.rs	Rust	engine_transport	engine-transport-owner	client to server	Wire DTOs use serde camelCase	deny_unknown_fields on public context	Rejects authority/runtime metadata	Rust socket tests and SACB/PPACD invariant	PPACD-2,PPACD-4,PPACD-9
